job_title,company_name,job_url,location,publication_date,job_description,recruiter_name,recruiter_profile_url,scraped_at,keyword
Product Manager,MakeMyTrip,https://in.linkedin.com/jobs/view/product-manager-at-makemytrip-4300014286,"Gurugram, Haryana, India",2025-09-12,,,,2025-09-16T14:27:31.329Z,product manager
Product Manager,airtel,https://in.linkedin.com/jobs/view/product-manager-at-airtel-4288542675,"Gurugram, Haryana, India",2025-08-25,,,,2025-09-16T14:27:31.329Z,product manager
Product Manager,Airtel Digital,https://in.linkedin.com/jobs/view/product-manager-at-airtel-digital-4295542341,"Gurugram, Haryana, India",2025-09-08,,,,2025-09-16T14:27:31.329Z,product manager
Product Manager,Kotak Mahindra Bank,https://in.linkedin.com/jobs/view/product-manager-at-kotak-mahindra-bank-4292383480,"Mumbai, Maharashtra, India",2025-08-29,,,,2025-09-16T14:27:31.329Z,product manager
Product Manager,AU SMALL FINANCE BANK,https://in.linkedin.com/jobs/view/product-manager-at-au-small-finance-bank-4285088874,"Mumbai, Maharashtra, India",2025-08-19,,,,2025-09-16T14:27:31.329Z,product manager
Product Manager – Salary and MFI,Airtel Payments Bank,https://in.linkedin.com/jobs/view/product-manager-%E2%80%93-salary-and-mfi-at-airtel-payments-bank-4289838410,"Gurugram, Haryana, India",2025-08-27,,,,2025-09-16T14:27:31.329Z,product manager
Product Manager,ACG World,https://in.linkedin.com/jobs/view/product-manager-at-acg-world-4285832621,"Pune, Maharashtra, India",2025-08-20,,,,2025-09-16T14:27:31.329Z,product manager
Healthcare Product Manager_Q2,Infosys,https://in.linkedin.com/jobs/view/healthcare-product-manager-q2-at-infosys-4258750751,"Bengaluru East, Karnataka, India",2025-09-12,,,,2025-09-16T14:27:31.329Z,product manager
Product Manager,slice,https://in.linkedin.com/jobs/view/product-manager-at-slice-4299141100,"Bengaluru, Karnataka, India",2025-09-11,,,,2025-09-16T14:27:31.329Z,product manager
Associate Product Manager,JUSPAY,https://in.linkedin.com/jobs/view/associate-product-manager-at-juspay-4288004261,"Bengaluru, Karnataka, India",2025-08-19,,,,2025-09-16T14:27:31.329Z,product manager
Product Manager,Microsoft,https://in.linkedin.com/jobs/view/product-manager-at-microsoft-4299779601,"Lakshadweep, India",2025-09-12,,,,2025-09-16T14:27:32.077Z,product manager
Product Manager,Jar,https://in.linkedin.com/jobs/view/product-manager-at-jar-4285530970,"Bengaluru, Karnataka, India",2025-07-25,,,,2025-09-16T14:27:32.077Z,product manager
Product Manager,Tata Consultancy Services,https://in.linkedin.com/jobs/view/product-manager-at-tata-consultancy-services-4295795057,"Mumbai, Maharashtra, India",2025-09-05,,,,2025-09-16T14:27:32.077Z,product manager
Product Manager,Microsoft,https://in.linkedin.com/jobs/view/product-manager-at-microsoft-4299779604,"Uttarakhand, India",2025-09-12,,,,2025-09-16T14:27:32.077Z,product manager
Product Manager,Microsoft,https://in.linkedin.com/jobs/view/product-manager-at-microsoft-4299780624,"Uttar Pradesh, India",2025-09-12,,,,2025-09-16T14:27:32.077Z,product manager
Product Manager,Microsoft,https://in.linkedin.com/jobs/view/product-manager-at-microsoft-4299785340,"Himachal Pradesh, India",2025-09-12,,,,2025-09-16T14:27:32.077Z,product manager
Associate Product Manager,Aurigo Software Technologies,https://in.linkedin.com/jobs/view/associate-product-manager-at-aurigo-software-technologies-4287375871,"Bengaluru, Karnataka, India",2025-09-03,,,,2025-09-16T14:27:32.077Z,product manager
Product Manager,Sprinklr,https://in.linkedin.com/jobs/view/product-manager-at-sprinklr-4270682446,"Gurgaon, Haryana, India",2025-09-03,,,,2025-09-16T14:27:32.077Z,product manager
Associate Product Manager / Product manager,Novac Technology Solutions,https://in.linkedin.com/jobs/view/associate-product-manager-product-manager-at-novac-technology-solutions-4293748193,"Navi Mumbai, Maharashtra, India",2025-09-01,,,,2025-09-16T14:27:32.077Z,product manager
Product Manager,Microsoft,https://in.linkedin.com/jobs/view/product-manager-at-microsoft-4299785338,"Bihar, India",2025-09-12,,,,2025-09-16T14:27:32.077Z,product manager
